institute_code,institute_name,program_code,program_name,category,gender,quota,year,opening_rank,closing_rank,total_seats,student_rank,admitted
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2022,720,957,20,455,1
111003,NIT Warangal,111003_ECE,ECE,OPEN,Gender-Neutral,AI,2022,718,1004,38,910,1
111002,NITK Surathkal,111002_CSE,CSE,EWS,Gender-Neutral,AI,2020,617,881,28,921,0
111004,MNIT Jaipur,111004_CSE,CSE,EWS,Gender-Neutral,AI,2020,488,643,38,523,1
111004,MNIT Jaipur,111004_CSE,CSE,EWS,Gender-Neutral,AI,2024,752,1015,31,805,1
111004,MNIT Jaipur,111004_CSE,CSE,EWS,Gender-Neutral,AI,2023,271,441,37,520,0
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2023,676,856,34,764,1
111001,MNNIT Allahabad,111001_CSE,CSE,EWS,Gender-Neutral,AI,2023,370,548,23,641,0
111003,NIT Warangal,111003_ECE,ECE,EWS,Gender-Neutral,AI,2022,718,1004,38,1182,0
111001,MNNIT Allahabad,111001_ECE,ECE,EWS,Gender-Neutral,AI,2020,688,965,26,925,1
111003,NIT Warangal,111003_CSE,CSE,EWS,Gender-Neutral,AI,2024,460,646,25,726,0
111003,NIT Warangal,111003_ECE,ECE,EWS,Gender-Neutral,AI,2024,415,567,22,410,1
111004,MNIT Jaipur,111004_ECE,ECE,OPEN,Gender-Neutral,AI,2022,755,960,34,1032,0
111002,NITK Surathkal,111002_CSE,CSE,OPEN,Gender-Neutral,AI,2024,250,403,20,368,1
111002,NITK Surathkal,111002_CSE,CSE,EWS,Gender-Neutral,AI,2024,250,403,20,381,1
111004,MNIT Jaipur,111004_CSE,CSE,EWS,Gender-Neutral,AI,2022,283,438,38,347,1
111001,MNNIT Allahabad,111001_CSE,CSE,EWS,Gender-Neutral,AI,2021,539,780,34,699,1
111003,NIT Warangal,111003_ECE,ECE,OPEN,Gender-Neutral,AI,2024,415,567,22,578,0
111002,NITK Surathkal,111002_ECE,ECE,OPEN,Gender-Neutral,AI,2020,305,505,36,410,1
111004,MNIT Jaipur,111004_CSE,CSE,OPEN,Gender-Neutral,AI,2023,271,441,37,562,0
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2023,370,548,23,653,0
111002,NITK Surathkal,111002_CSE,CSE,OPEN,Gender-Neutral,AI,2023,572,729,23,720,1
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2023,370,548,23,525,1
111002,NITK Surathkal,111002_ECE,ECE,OPEN,Gender-Neutral,AI,2020,305,505,36,434,1
111003,NIT Warangal,111003_ECE,ECE,EWS,Gender-Neutral,AI,2022,718,1004,38,966,1
111005,VNIT Nagpur,111005_ECE,ECE,OPEN,Gender-Neutral,AI,2024,238,399,28,303,1
111004,MNIT Jaipur,111004_ECE,ECE,OPEN,Gender-Neutral,AI,2020,234,476,34,514,0
111004,MNIT Jaipur,111004_ECE,ECE,OPEN,Gender-Neutral,AI,2022,755,960,34,1037,0
111002,NITK Surathkal,111002_ECE,ECE,EWS,Gender-Neutral,AI,2021,247,457,36,434,1
111002,NITK Surathkal,111002_ECE,ECE,OPEN,Gender-Neutral,AI,2024,578,805,23,1090,0
111003,NIT Warangal,111003_CSE,CSE,OPEN,Gender-Neutral,AI,2022,668,866,26,1068,0
111003,NIT Warangal,111003_ECE,ECE,EWS,Gender-Neutral,AI,2021,706,964,30,998,0
111002,NITK Surathkal,111002_CSE,CSE,OPEN,Gender-Neutral,AI,2020,617,881,28,644,1
111004,MNIT Jaipur,111004_ECE,ECE,OPEN,Gender-Neutral,AI,2024,543,746,26,896,0
111003,NIT Warangal,111003_CSE,CSE,EWS,Gender-Neutral,AI,2021,577,863,38,1001,0
111004,MNIT Jaipur,111004_ECE,ECE,EWS,Gender-Neutral,AI,2023,510,778,30,808,0
111001,MNNIT Allahabad,111001_CSE,CSE,EWS,Gender-Neutral,AI,2024,696,897,31,1034,0
111001,MNNIT Allahabad,111001_CSE,CSE,EWS,Gender-Neutral,AI,2023,370,548,23,646,0
111005,VNIT Nagpur,111005_CSE,CSE,EWS,Gender-Neutral,AI,2021,317,487,28,554,0
111004,MNIT Jaipur,111004_ECE,ECE,OPEN,Gender-Neutral,AI,2020,234,476,34,423,1
111002,NITK Surathkal,111002_ECE,ECE,OPEN,Gender-Neutral,AI,2022,308,603,34,620,0
111005,VNIT Nagpur,111005_ECE,ECE,EWS,Gender-Neutral,AI,2021,684,949,22,916,1
111002,NITK Surathkal,111002_CSE,CSE,EWS,Gender-Neutral,AI,2022,730,918,22,753,1
111004,MNIT Jaipur,111004_CSE,CSE,EWS,Gender-Neutral,AI,2021,477,774,23,883,0
111004,MNIT Jaipur,111004_CSE,CSE,OPEN,Gender-Neutral,AI,2022,283,438,38,482,0
111003,NIT Warangal,111003_ECE,ECE,EWS,Gender-Neutral,AI,2022,718,1004,38,1147,0
111005,VNIT Nagpur,111005_ECE,ECE,OPEN,Gender-Neutral,AI,2022,596,858,28,833,1
111001,MNNIT Allahabad,111001_ECE,ECE,EWS,Gender-Neutral,AI,2023,250,462,36,420,1
111005,VNIT Nagpur,111005_ECE,ECE,OPEN,Gender-Neutral,AI,2020,736,964,23,828,1
111003,NIT Warangal,111003_ECE,ECE,EWS,Gender-Neutral,AI,2021,706,964,30,1083,0
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2021,317,487,28,462,1
111005,VNIT Nagpur,111005_ECE,ECE,OPEN,Gender-Neutral,AI,2024,238,399,28,335,1
111005,VNIT Nagpur,111005_CSE,CSE,EWS,Gender-Neutral,AI,2020,250,414,23,529,0
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2024,696,897,31,890,1
111003,NIT Warangal,111003_CSE,CSE,OPEN,Gender-Neutral,AI,2021,577,863,38,603,1
111001,MNNIT Allahabad,111001_ECE,ECE,OPEN,Gender-Neutral,AI,2024,285,463,33,463,1
111005,VNIT Nagpur,111005_ECE,ECE,OPEN,Gender-Neutral,AI,2023,536,821,27,600,1
111003,NIT Warangal,111003_ECE,ECE,OPEN,Gender-Neutral,AI,2021,706,964,30,1211,0
111002,NITK Surathkal,111002_CSE,CSE,OPEN,Gender-Neutral,AI,2024,250,403,20,488,0
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2024,618,917,30,1047,0
111003,NIT Warangal,111003_CSE,CSE,EWS,Gender-Neutral,AI,2021,577,863,38,953,0
111004,MNIT Jaipur,111004_ECE,ECE,EWS,Gender-Neutral,AI,2020,234,476,34,607,0
111002,NITK Surathkal,111002_CSE,CSE,OPEN,Gender-Neutral,AI,2023,572,729,23,419,1
111002,NITK Surathkal,111002_CSE,CSE,EWS,Gender-Neutral,AI,2021,268,516,31,656,0
111003,NIT Warangal,111003_ECE,ECE,EWS,Gender-Neutral,AI,2022,718,1004,38,1067,0
111003,NIT Warangal,111003_ECE,ECE,EWS,Gender-Neutral,AI,2024,415,567,22,770,0
111003,NIT Warangal,111003_CSE,CSE,EWS,Gender-Neutral,AI,2022,668,866,26,672,1
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2023,676,856,34,615,1
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2020,250,414,23,398,1
111003,NIT Warangal,111003_ECE,ECE,OPEN,Gender-Neutral,AI,2024,415,567,22,685,0
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2022,519,703,26,594,1
111002,NITK Surathkal,111002_CSE,CSE,EWS,Gender-Neutral,AI,2023,572,729,23,800,0
111005,VNIT Nagpur,111005_ECE,ECE,EWS,Gender-Neutral,AI,2024,238,399,28,418,0
111003,NIT Warangal,111003_ECE,ECE,EWS,Gender-Neutral,AI,2021,706,964,30,661,1
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2022,720,957,20,1114,0
111001,MNNIT Allahabad,111001_ECE,ECE,OPEN,Gender-Neutral,AI,2021,360,577,20,423,1
111002,NITK Surathkal,111002_CSE,CSE,EWS,Gender-Neutral,AI,2020,617,881,28,867,1
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2021,539,780,34,1017,0
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2023,370,548,23,400,1
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2022,720,957,20,668,1
111002,NITK Surathkal,111002_CSE,CSE,OPEN,Gender-Neutral,AI,2022,730,918,22,466,1
111004,MNIT Jaipur,111004_ECE,ECE,OPEN,Gender-Neutral,AI,2021,517,726,34,988,0
111002,NITK Surathkal,111002_CSE,CSE,EWS,Gender-Neutral,AI,2024,250,403,20,527,0
111005,VNIT Nagpur,111005_CSE,CSE,EWS,Gender-Neutral,AI,2024,618,917,30,939,0
111005,VNIT Nagpur,111005_ECE,ECE,OPEN,Gender-Neutral,AI,2020,736,964,23,1257,0
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2020,250,414,23,459,0
111002,NITK Surathkal,111002_CSE,CSE,OPEN,Gender-Neutral,AI,2022,730,918,22,1072,0
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2021,317,487,28,559,0
111002,NITK Surathkal,111002_ECE,ECE,EWS,Gender-Neutral,AI,2021,247,457,36,400,1
111004,MNIT Jaipur,111004_CSE,CSE,OPEN,Gender-Neutral,AI,2022,283,438,38,564,0
111001,MNNIT Allahabad,111001_ECE,ECE,OPEN,Gender-Neutral,AI,2022,548,743,22,753,0
111005,VNIT Nagpur,111005_ECE,ECE,EWS,Gender-Neutral,AI,2023,536,821,27,775,1
111003,NIT Warangal,111003_CSE,CSE,OPEN,Gender-Neutral,AI,2021,577,863,38,462,1
111005,VNIT Nagpur,111005_ECE,ECE,EWS,Gender-Neutral,AI,2022,596,858,28,732,1
111003,NIT Warangal,111003_CSE,CSE,EWS,Gender-Neutral,AI,2023,361,634,20,544,1
111002,NITK Surathkal,111002_ECE,ECE,EWS,Gender-Neutral,AI,2020,305,505,36,475,1
111004,MNIT Jaipur,111004_CSE,CSE,OPEN,Gender-Neutral,AI,2024,752,1015,31,1167,0
111001,MNNIT Allahabad,111001_CSE,CSE,EWS,Gender-Neutral,AI,2023,370,548,23,562,0
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2024,618,917,30,1187,0
111003,NIT Warangal,111003_ECE,ECE,OPEN,Gender-Neutral,AI,2024,415,567,22,592,0
111004,MNIT Jaipur,111004_ECE,ECE,OPEN,Gender-Neutral,AI,2023,510,778,30,600,1
111004,MNIT Jaipur,111004_CSE,CSE,EWS,Gender-Neutral,AI,2022,283,438,38,491,0
111004,MNIT Jaipur,111004_CSE,CSE,OPEN,Gender-Neutral,AI,2022,283,438,38,455,0
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2023,676,856,34,960,0
111004,MNIT Jaipur,111004_CSE,CSE,EWS,Gender-Neutral,AI,2023,271,441,37,311,1
111002,NITK Surathkal,111002_CSE,CSE,OPEN,Gender-Neutral,AI,2024,250,403,20,524,0
111004,MNIT Jaipur,111004_CSE,CSE,OPEN,Gender-Neutral,AI,2024,752,1015,31,1056,0
111002,NITK Surathkal,111002_ECE,ECE,OPEN,Gender-Neutral,AI,2020,305,505,36,494,1
111002,NITK Surathkal,111002_ECE,ECE,OPEN,Gender-Neutral,AI,2020,305,505,36,405,1
111002,NITK Surathkal,111002_ECE,ECE,EWS,Gender-Neutral,AI,2023,200,439,33,293,1
111003,NIT Warangal,111003_CSE,CSE,OPEN,Gender-Neutral,AI,2023,361,634,20,411,1
111001,MNNIT Allahabad,111001_ECE,ECE,EWS,Gender-Neutral,AI,2020,688,965,26,1215,0
111005,VNIT Nagpur,111005_ECE,ECE,EWS,Gender-Neutral,AI,2024,238,399,28,420,0
111003,NIT Warangal,111003_CSE,CSE,EWS,Gender-Neutral,AI,2024,460,646,25,940,0
111002,NITK Surathkal,111002_ECE,ECE,OPEN,Gender-Neutral,AI,2023,200,439,33,297,1
111002,NITK Surathkal,111002_CSE,CSE,EWS,Gender-Neutral,AI,2022,730,918,22,789,1
111002,NITK Surathkal,111002_CSE,CSE,OPEN,Gender-Neutral,AI,2022,730,918,22,807,1
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2020,250,414,23,273,1
111004,MNIT Jaipur,111004_CSE,CSE,EWS,Gender-Neutral,AI,2023,271,441,37,416,1
111003,NIT Warangal,111003_CSE,CSE,OPEN,Gender-Neutral,AI,2024,460,646,25,661,0
111004,MNIT Jaipur,111004_CSE,CSE,EWS,Gender-Neutral,AI,2023,271,441,37,446,0
111002,NITK Surathkal,111002_ECE,ECE,OPEN,Gender-Neutral,AI,2023,200,439,33,402,1
111003,NIT Warangal,111003_ECE,ECE,OPEN,Gender-Neutral,AI,2021,706,964,30,1060,0
111005,VNIT Nagpur,111005_CSE,CSE,EWS,Gender-Neutral,AI,2022,519,703,26,931,0
111001,MNNIT Allahabad,111001_ECE,ECE,EWS,Gender-Neutral,AI,2021,360,577,20,598,0
111002,NITK Surathkal,111002_ECE,ECE,OPEN,Gender-Neutral,AI,2022,308,603,34,703,0
111002,NITK Surathkal,111002_ECE,ECE,OPEN,Gender-Neutral,AI,2023,200,439,33,405,1
111005,VNIT Nagpur,111005_ECE,ECE,OPEN,Gender-Neutral,AI,2022,596,858,28,913,0
111004,MNIT Jaipur,111004_ECE,ECE,EWS,Gender-Neutral,AI,2022,755,960,34,1046,0
111005,VNIT Nagpur,111005_ECE,ECE,EWS,Gender-Neutral,AI,2022,596,858,28,836,1
111005,VNIT Nagpur,111005_CSE,CSE,EWS,Gender-Neutral,AI,2021,317,487,28,553,0
111004,MNIT Jaipur,111004_CSE,CSE,OPEN,Gender-Neutral,AI,2022,283,438,38,373,1
111001,MNNIT Allahabad,111001_ECE,ECE,OPEN,Gender-Neutral,AI,2024,285,463,33,566,0
111002,NITK Surathkal,111002_CSE,CSE,OPEN,Gender-Neutral,AI,2020,617,881,28,644,1
111003,NIT Warangal,111003_CSE,CSE,EWS,Gender-Neutral,AI,2020,716,988,29,835,1
111002,NITK Surathkal,111002_ECE,ECE,EWS,Gender-Neutral,AI,2021,247,457,36,596,0
111002,NITK Surathkal,111002_CSE,CSE,OPEN,Gender-Neutral,AI,2020,617,881,28,1064,0
111004,MNIT Jaipur,111004_CSE,CSE,EWS,Gender-Neutral,AI,2020,488,643,38,399,1
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2023,370,548,23,581,0
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2021,539,780,34,617,1
111003,NIT Warangal,111003_ECE,ECE,OPEN,Gender-Neutral,AI,2021,706,964,30,1168,0
111004,MNIT Jaipur,111004_CSE,CSE,OPEN,Gender-Neutral,AI,2024,752,1015,31,1449,0
111003,NIT Warangal,111003_ECE,ECE,OPEN,Gender-Neutral,AI,2022,718,1004,38,1286,0
111005,VNIT Nagpur,111005_CSE,CSE,EWS,Gender-Neutral,AI,2021,317,487,28,541,0
111003,NIT Warangal,111003_ECE,ECE,EWS,Gender-Neutral,AI,2024,415,567,22,172,1
111001,MNNIT Allahabad,111001_ECE,ECE,OPEN,Gender-Neutral,AI,2023,250,462,36,632,0
111005,VNIT Nagpur,111005_ECE,ECE,OPEN,Gender-Neutral,AI,2020,736,964,23,1147,0
111003,NIT Warangal,111003_CSE,CSE,OPEN,Gender-Neutral,AI,2024,460,646,25,815,0
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2021,317,487,28,329,1
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2023,370,548,23,443,1
111001,MNNIT Allahabad,111001_ECE,ECE,OPEN,Gender-Neutral,AI,2022,548,743,22,654,1
111005,VNIT Nagpur,111005_ECE,ECE,OPEN,Gender-Neutral,AI,2021,684,949,22,457,1
111005,VNIT Nagpur,111005_CSE,CSE,OPEN,Gender-Neutral,AI,2021,317,487,28,531,0
111004,MNIT Jaipur,111004_CSE,CSE,OPEN,Gender-Neutral,AI,2022,283,438,38,595,0
111002,NITK Surathkal,111002_ECE,ECE,OPEN,Gender-Neutral,AI,2021,247,457,36,559,0
111004,MNIT Jaipur,111004_CSE,CSE,EWS,Gender-Neutral,AI,2023,271,441,37,523,0
111002,NITK Surathkal,111002_CSE,CSE,OPEN,Gender-Neutral,AI,2022,730,918,22,1127,0
111005,VNIT Nagpur,111005_ECE,ECE,OPEN,Gender-Neutral,AI,2020,736,964,23,1017,0
111004,MNIT Jaipur,111004_ECE,ECE,OPEN,Gender-Neutral,AI,2020,234,476,34,578,0
111002,NITK Surathkal,111002_ECE,ECE,EWS,Gender-Neutral,AI,2020,305,505,36,359,1
111004,MNIT Jaipur,111004_ECE,ECE,EWS,Gender-Neutral,AI,2021,517,726,34,811,0
111005,VNIT Nagpur,111005_ECE,ECE,OPEN,Gender-Neutral,AI,2023,536,821,27,845,0
111001,MNNIT Allahabad,111001_CSE,CSE,EWS,Gender-Neutral,AI,2022,720,957,20,1013,0
111005,VNIT Nagpur,111005_CSE,CSE,EWS,Gender-Neutral,AI,2024,618,917,30,822,1
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2020,302,544,34,574,0
111003,NIT Warangal,111003_ECE,ECE,EWS,Gender-Neutral,AI,2022,718,1004,38,1023,0
111002,NITK Surathkal,111002_ECE,ECE,EWS,Gender-Neutral,AI,2022,308,603,34,699,0
111005,VNIT Nagpur,111005_ECE,ECE,EWS,Gender-Neutral,AI,2020,736,964,23,644,1
111003,NIT Warangal,111003_ECE,ECE,EWS,Gender-Neutral,AI,2021,706,964,30,950,1
111002,NITK Surathkal,111002_ECE,ECE,OPEN,Gender-Neutral,AI,2022,308,603,34,688,0
111005,VNIT Nagpur,111005_ECE,ECE,EWS,Gender-Neutral,AI,2024,238,399,28,330,1
111003,NIT Warangal,111003_CSE,CSE,OPEN,Gender-Neutral,AI,2024,460,646,25,807,0
111003,NIT Warangal,111003_ECE,ECE,OPEN,Gender-Neutral,AI,2023,465,717,39,637,1
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2021,539,780,34,783,0
111001,MNNIT Allahabad,111001_CSE,CSE,EWS,Gender-Neutral,AI,2021,539,780,34,965,0
111002,NITK Surathkal,111002_CSE,CSE,EWS,Gender-Neutral,AI,2021,268,516,31,463,1
111005,VNIT Nagpur,111005_ECE,ECE,EWS,Gender-Neutral,AI,2023,536,821,27,669,1
111001,MNNIT Allahabad,111001_ECE,ECE,EWS,Gender-Neutral,AI,2024,285,463,33,504,0
111002,NITK Surathkal,111002_ECE,ECE,OPEN,Gender-Neutral,AI,2021,247,457,36,232,1
111001,MNNIT Allahabad,111001_CSE,CSE,EWS,Gender-Neutral,AI,2020,302,544,34,653,0
111002,NITK Surathkal,111002_CSE,CSE,EWS,Gender-Neutral,AI,2020,617,881,28,1176,0
111003,NIT Warangal,111003_ECE,ECE,OPEN,Gender-Neutral,AI,2020,541,717,25,791,0
111004,MNIT Jaipur,111004_ECE,ECE,OPEN,Gender-Neutral,AI,2024,543,746,26,787,0
111002,NITK Surathkal,111002_ECE,ECE,OPEN,Gender-Neutral,AI,2020,305,505,36,542,0
111001,MNNIT Allahabad,111001_ECE,ECE,EWS,Gender-Neutral,AI,2020,688,965,26,1115,0
111003,NIT Warangal,111003_CSE,CSE,OPEN,Gender-Neutral,AI,2021,577,863,38,640,1
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2023,370,548,23,458,1
111001,MNNIT Allahabad,111001_CSE,CSE,EWS,Gender-Neutral,AI,2024,696,897,31,982,0
111002,NITK Surathkal,111002_CSE,CSE,OPEN,Gender-Neutral,AI,2024,250,403,20,569,0
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2024,696,897,31,907,0
111005,VNIT Nagpur,111005_ECE,ECE,EWS,Gender-Neutral,AI,2024,238,399,28,395,1
111004,MNIT Jaipur,111004_ECE,ECE,OPEN,Gender-Neutral,AI,2024,543,746,26,644,1
111005,VNIT Nagpur,111005_CSE,CSE,EWS,Gender-Neutral,AI,2024,618,917,30,555,1
111002,NITK Surathkal,111002_ECE,ECE,OPEN,Gender-Neutral,AI,2024,578,805,23,748,1
111002,NITK Surathkal,111002_ECE,ECE,OPEN,Gender-Neutral,AI,2021,247,457,36,404,1
111003,NIT Warangal,111003_ECE,ECE,OPEN,Gender-Neutral,AI,2020,541,717,25,676,1
111005,VNIT Nagpur,111005_ECE,ECE,EWS,Gender-Neutral,AI,2020,736,964,23,822,1
111005,VNIT Nagpur,111005_ECE,ECE,OPEN,Gender-Neutral,AI,2021,684,949,22,1115,0
111001,MNNIT Allahabad,111001_CSE,CSE,OPEN,Gender-Neutral,AI,2020,302,544,34,603,0
